ngram,log_prob
sbe,-7.742034409477066
nso,-7.743223508743164
wha,-7.74443390743359
eha,-7.745175980604229
ays,-7.7464553376418
epo,-7.748604794483777
ndp,-7.75160218684748
ory,-7.755508763117023
eon,-7.757505901790502
edu,-7.7583598231122295
mth,-7.759688545315264
ssa,-7.7619472398969585
ato,-7.765139477969562
nsu,-7.769752528415374
cor,-7.773396244549305
evi,-7.774427751159633
qui,-7.7754257696108855
ode,-7.776796620409323
esw,-7.77684731911709
ryo,-7.778648975913304
vin,-7.779326733413148
dst,-7.780470598127911
ami,-7.780758487158522
vet,-7.781101647700174
rev,-7.783924226392479
vea,-7.783935221138387
len,-7.785668497571203
sou,-7.785916433940949
dea,-7.7863116162332595
rde,-7.790831632544558
nyo,-7.793360304068651
net,-7.797368453144232
sno,-7.799168141217827
col,-7.799491937207231
lon,-7.799497426178515
dco,-7.799874723201029
mpa,-7.80008529903202
ece,-7.80016295059133
lik,-7.800339488278606
reg,-7.800496921022612
itt,-7.802262774190927
ian,-7.802607889278272
ket,-7.803132624038607
see,-7.80503978742963
ewe,-7.805184065958246
ful,-7.807492305213408
lac,-7.808281743577439
tru,-7.8098030162209024
tfo,-7.810177526569262
atu,-7.811365487531916
rge,-7.811778905736173
tod,-7.812775029639264
eop,-7.813426804511252
dby,-7.813860277127006
adi,-7.8139968080755295
ars,-7.816226376813445
stu,-7.816657791551478
ary,-7.816833413899179
oli,-7.817452381906852
ndr,-7.818856641699238
bec,-7.821660060469004
xpe,-7.823785974866226
fre,-7.8254825457494075
tab,-7.828921577508732
cto,-7.829651262010099
eit,-7.8326952711730105
cle,-7.836233264740386
too,-7.8364974009639425
heo,-7.8366977589768805
ima,-7.837529673978899
que,-7.83783919010777
bil,-7.840353869413345
ndm,-7.841765409747666
etr,-7.842891294717955
nor,-7.843424947319621
sat,-7.844661608326698
dev,-7.845414961481993
fte,-7.845866096045482
two,-7.845958885327038
onf,-7.84897625040948
rop,-7.849145110450465
ewo,-7.849913793816155
tsi,-7.852453471899631
cet,-7.8526598473448
rco,-7.856355059857432
pin,-7.859619659878698
dwi,-7.860310347417711
tle,-7.86050084795896
epe,-7.864453007960913
mbe,-7.865805558822576
clu,-7.8658122331390885
sup,-7.86657521903456
spa,-7.86737160305198
ria,-7.869525195962362
eam,-7.8733282065436985
cur,-7.875127150424946
mil,-7.875631516880935
ger,-7.87791312196231
ano,-7.879434492218058
mal,-7.880217180249785
eng,-7.881211806782831
yea,-7.881425847527803
ndw,-7.8823392192996735
gro,-7.884378198960512
tel,-7.884788308178962
ues,-7.885582419629925
rvi,-7.889709110989616
ncl,-7.890822716122699
edw,-7.8910367499392
ngc,-7.893131595971921
mos,-7.894531642688559
vic,-7.8952772895852945
arc,-7.895427902363981
rai,-7.8992198523163175
ize,-7.904521361686996
bea,-7.9050258432031075
ats,-7.905957457974258
aus,-7.911556554284838
ega,-7.911695028410302
ofi,-7.913202333018685
alc,-7.9149935799506626
cea,-7.916189955000865
twe,-7.917378180029946
sch,-7.919772322403558
cas,-7.91994439086759
ino,-7.9200332119829895
rod,-7.921430192698178
wel,-7.921821560372782
ild,-7.923661757136854
ude,-7.924511380779842
cts,-7.925769883726822
odu,-7.926260708376846
ved,-7.928840797567245
ngf,-7.931846411729291
fir,-7.9321003134162495
ngw,-7.934051130866472
heh,-7.93644389894485
ark,-7.940844802933739
lyt,-7.940951634554343
fyo,-7.942034329958389
ngp,-7.943362520943085
old,-7.94447999513933
rad,-7.9447679853374
cul,-7.94500001344799
log,-7.945353412509052
rce,-7.945786463767117
pti,-7.94702597825718
bee,-7.947649165630507
erw,-7.948792099453129
lya,-7.949764973281301
add,-7.951193348886408
edf,-7.952427016096699
lem,-7.954228340291797
ofc,-7.954655747863683
hro,-7.955222001610675
irs,-7.9566907579405814
nne,-7.958087367671386
ofs,-7.959680077284245
ext,-7.963480626176963
uca,-7.963750942622815
uth,-7.964220155265625
lls,-7.964621268969774
cer,-7.966156450698513
ced,-7.966825016767798
orc,-7.967470744784759
loo,-7.9684734004724636
fec,-7.969663510123414
tly,-7.970522156265261
heg,-7.971128703625437
cei,-7.97148718879906
may,-7.9737228082599465
cie,-7.975146584568783
opl,-7.975271134570015
row,-7.9762272112206265
twi,-7.980873847753445
lay,-7.980956221618511
rne,-7.981276250600887
tch,-7.981395663534357
dfo,-7.98353047418898
nbe,-7.983552543827335
ouc,-7.9838963925400215
omi,-7.986760775396622
atc,-7.987304399905899
suc,-7.9906470660080196
dso,-7.992671542998686
tia,-7.994194549580648
elp,-7.994362893593415
lie,-7.995261897880802
tme,-8.00007714740751
rig,-8.000763001826396
eor,-8.004177282154071
tak,-8.005524634944871
iat,-8.00575072735948
isp,-8.006291044023314
kno,-8.007341098211905
tou,-8.008207308424128
mis,-8.010201088706934
del,-8.010676718753329
cus,-8.010824478901469
oca,-8.011731858740292
dbe,-8.012653180184017
ngl,-8.012852540801678
rdi,-8.014005207070467
owi,-8.014907966225925
lor,-8.015831279937595
ffi,-8.016472299196586
syo,-8.01701561845305
abi,-8.01798067887129
dia,-8.01971683543039
erp,-8.021527617192644
ify,-8.021703699267674
ole,-8.0223984031834
omt,-8.026599357520078
nic,-8.027049345541455
peo,-8.027291529552814
urn,-8.031393550727648
ama,-8.032835465549589
ram,-8.033207447562955
nea,-8.033255509317296
ndh,-8.033369814708905
dif,-8.033814247253849
mai,-8.03490799027489
eet,-8.035722910768202
oto,-8.035729143239378
cte,-8.037772129674975
sli,-8.03819545413811
ndu,-8.040078318350073
